brand,date,diff,image,length,link,nwt,price,size,sold,status,stock,title
hugo_boss,2020-04-23,8,https://di2ponv0v5otw.cloudfront.net/posts/2020/04/23/5ea1fcceff7c5aba84158824/s_5ea1fce4e107bb4ab656ef08.jpg,15,http://www.poshmark.com/listing/Hugo-Boss-Jeans-5ea1fcceff7c5aba84158824,False,30,32.0,False,,,Hugo Boss Jeans
hugo_boss,2020-04-23,8,https://di2ponv0v5otw.cloudfront.net/posts/2020/04/23/5ea1f2e412d8803e019b39fd/s_5ea1f32243895fd9c81514c1.jpg,44,http://www.poshmark.com/listing/Hugo-Boss-mens-5-pocket-distress-wash-jeans-5ea1f2e412d8803e019b39fd,False,70,34.0,False,,,Hugo Boss men’s 5 pocket distress wash jeans
hugo_boss,2020-04-23,8,https://di2ponv0v5otw.cloudfront.net/posts/2020/04/23/5ea1dd715cd8ce2cb5fe9821/s_5ea1dd7593649f6161ae9e31.jpeg,14,http://www.poshmark.com/listing/Hugo-Boss-jean-5ea1dd715cd8ce2cb5fe9821,False,15,33.0,False,,,Hugo Boss jean
hugo_boss,2020-04-22,9,https://di2ponv0v5otw.cloudfront.net/posts/2020/04/22/5ea0eecd633cfca571e0f158/s_5ea0eee3e97e489e210b08e8.jpg,26,http://www.poshmark.com/listing/Hugo-Boss-Jean-size-3132-5ea0eecd633cfca571e0f158,False,30,31.0,False,,,Hugo Boss Jean size 31/32.
hugo_boss,2020-04-22,9,https://di2ponv0v5otw.cloudfront.net/posts/2020/04/22/5ea0ece0bb5937285c408fcb/s_5ea0ecf1bb593745b340904e.jpg,20,http://www.poshmark.com/listing/Boss-Jean-size-3233-5ea0ece0bb5937285c408fcb,False,30,32.0,False,,,Boss Jean size 32/33
hugo_boss,2020-04-22,9,https://di2ponv0v5otw.cloudfront.net/posts/2020/04/22/5ea07a2e9e155963d2922ea5/s_5ea07a35ff7c5a6d11d72422.jpg,49,http://www.poshmark.com/listing/Hugo-Boss-Kansas-Regular-Fit-Jeans-Bright-Blue-36-5ea07a2e9e155963d2922ea5,False,35,36.0,False,,,Hugo Boss Kansas Regular Fit Jeans Bright Blue 36
hugo_boss,2020-04-21,10,https://di2ponv0v5otw.cloudfront.net/posts/2020/04/21/5e9fea33045e39be6b8e5663/s_5ea1b000463d4f7d6de5be5a.jpg,41,http://www.poshmark.com/listing/Hugo-BossRegular-Fit-Blue-Jeans-Sz-30x34-5e9fea33045e39be6b8e5663,True,89,30.0,False,NWT,,Hugo Boss🔴Regular Fit Blue Jeans Sz 30x34
hugo_boss,2020-04-21,10,https://di2ponv0v5otw.cloudfront.net/posts/2020/04/21/5e9f59ad074d242f0ed33964/s_5e9f5a00ffba94b232faf312.jpg,44,http://www.poshmark.com/listing/Dark-blue-Hugo-Boss-skinny-jeans-3034-NWT-5e9f59ad074d242f0ed33964,True,40,30.0,True,NWT,Sold,Dark blue Hugo Boss skinny jeans 30/34. NWT!
hugo_boss,2020-04-21,10,https://di2ponv0v5otw.cloudfront.net/posts/2020/04/21/5e9f586c09d760a5eb13a79b/s_5e9f58e52a1eff510cf16a50.jpg,41,http://www.poshmark.com/listing/Gray-Hugo-Boss-slim-jeans-New-with-tags-5e9f586c09d760a5eb13a79b,True,45,30.0,True,NWT,Sold,Gray Hugo Boss slim jeans. New with tags!
hugo_boss,2020-04-21,10,https://di2ponv0v5otw.cloudfront.net/posts/2020/04/21/5e9ee852ff83046b3c894974/s_5e9ee878efd0e4e4cead50bd.jpg,15,http://www.poshmark.com/listing/Hugo-boss-jeans-5e9ee852ff83046b3c894974,False,55,34.0,False,,,Hugo boss jeans
